"자치구","행정동명","평균자외선지수","평균노인체감온도","폭염시간합계","온열질환환자수","무더위쉼터개수","노인대비쉼터수","인구당보건인력","도시화면적비율","재정자립도","RGDP","단독연립대세대주택","인구당소방인력"
"강남구","수서동",6.701492537,28.40547264,110,10,7,0.00133638793432608,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","도곡2동",6.589552239,28.30845771,36,10,1,0.000184433788270011,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","개포4동",6.701492537,28.40547264,110,10,1,0.000263852242744063,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","일원1동",6.52238806,28.60696517,152,10,3,0.000824402308326463,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","도곡1동",6.589552239,28.30845771,36,10,1,0.000301750150875075,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","개포1동",6.619402985,28.65671642,152,10,0,0,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","세곡동",6.694029851,28.40547264,110,10,3,0.000390421655387819,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","압구정동",6.641791045,28.65671642,152,10,2,0.000364431486880466,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","일원본동",6.52238806,28.60696517,152,10,2,0.000540686672073533,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","개포2동",6.552238806,28.65671642,152,10,4,0.000705591815134944,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","대치4동",6.634328358,28.04975124,69,10,1,0.000456204379562044,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","신사동(강남)",6.731343284,27.97014925,109,10,1,0.00031328320802005,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","대치1동",6.701492537,28.56218905,112,10,2,0.000694444444444444,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","대치2동",6.701492537,28.56218905,112,10,3,0.000518224218345137,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","삼성2동",6.694029851,28.40547264,110,10,1,0.000241138172172655,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","역삼2동",6.731343284,28.55970149,97,10,3,0.000758725341426404,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","역삼1동",6.626865672,28.65671642,152,10,1,0.00025490695895998,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","논현2동",6.679104478,28.77363184,112,10,1,0.000304228780042592,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","삼성1동",6.470149254,28.16666667,64,10,1,0.000431965442764579,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","청담동",6.529850746,28.16666667,64,10,0,0,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강남구","논현1동",6.708955224,28.40547264,110,10,2,0.000640204865556978,0.000532978518319719,0.6626,56.1,77924019,100572,0.000687958087476517
"강동구","고덕2동",6.694029851,28.40547264,110,7,6,0.0016597510373444,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","둔촌2동",6.537313433,28.07960199,71,7,15,0.00315457413249211,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","고덕1동",6.694029851,28.40547264,110,7,10,0.0029655990510083,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","암사2동",6.701492537,28.40547264,110,7,6,0.00218420094648708,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","천호2동",6.626865672,28.21890547,107,7,14,0.00210843373493976,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","성내2동",6.708955224,28.40547264,110,7,7,0.00140364948867054,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","암사3동",6.589552239,28.30845771,36,7,8,0.00258648561267378,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","강일동",6.537313433,28.16666667,64,7,30,0.00460334509743747,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","명일1동",6.671641791,28.58457711,112,7,12,0.00253324889170361,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","성내3동",6.708955224,28.40547264,110,7,12,0.00267737617135207,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","천호1동",6.619402985,28.21890547,107,7,9,0.00151336808474861,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","암사1동",6.701492537,28.40547264,110,7,15,0.00213280250248827,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","길동",6.708955224,28.10696517,62,7,3,0.000308800823468863,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","명일2동",6.619402985,28.21890547,107,7,10,0.00328623069339468,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","천호3동",6.608208955,28.21890547,107,7,14,0.00267993874425727,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강동구","성내1동",6.694029851,28.40547264,110,7,8,0.00228115198175078,0.000495579991609918,0.5549,21.9,9364063,56170,0.000652078936328839
"강북구","삼각산동",6.514925373,28.79850746,69,8,1,0.000196078431372549,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","우이동",6.611940299,28.28606965,21,8,4,0.000750609870519797,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","송중동",6.671641791,28.2960199,41,8,7,0.00105708245243129,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","미아동",6.619402985,28.21890547,107,8,5,0.000994629003381739,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","삼양동",6.597014925,28.12437811,97,8,10,0.001822821728035,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","송천동",6.708955224,28.6641791,115,8,7,0.00105089325927038,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강북구","인수동",6.708955224,28.10696517,62,8,7,0.000907441016333938,0.000820676973370565,0.4767,15.3,3462961,57834,0.000820676973370565
"강서구","발산1동",6.634328358,28.21890547,107,12,3,0.000524842547235829,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","우장산동",6.641791045,28.48258706,64,12,2,0.000289393720156273,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양3동",6.731343284,28.21641791,98,12,5,0.00122488975992161,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양2동",6.73880597,28.58706468,18,12,5,0.00105999576001696,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡본동",6.731343284,28.21641791,98,12,5,0.000873667656823344,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡8동",6.641791045,28.55970149,97,12,5,0.00101461038961039,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡6동",6.708955224,28.55970149,97,12,4,0.000868432479374729,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡2동",6.712686567,28.40547264,110,12,3,0.000925925925925926,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","염창동",6.664179104,28.28358209,83,12,4,0.000777151738877016,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","등촌2동",6.71641791,28.55970149,97,12,3,0.000812787862367922,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","방화3동",6.604477612,28.12437811,97,12,8,0.00134408602150538,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","방화2동",6.597014925,28.12437811,97,12,7,0.0012799414883891,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡1동",6.701492537,28.40547264,110,12,4,0.000416536499010726,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","가양1동",6.656716418,28.6641791,115,12,5,0.00133226751931788,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡3동",6.73880597,28.21641791,98,12,3,0.000636942675159236,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","방화1동",6.71641791,28.10696517,62,12,6,0.000782881002087683,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","화곡4동",6.589552239,28.30845771,36,12,4,0.000914494741655235,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","공항동",6.731343284,28.21641791,98,12,6,0.00126715945089757,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","등촌1동",6.611940299,28.28606965,21,12,3,0.000886524822695035,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"강서구","등촌3동",6.76119403,28.40547264,62,12,12,0.00153944836433611,0.000270571327169929,0.4576,19.4,18347568,111298,0.00055695526436927
"관악구","대학동",6.723880597,28.55970149,97,12,0,0,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","서림동",6.626865672,28.48258706,64,12,2,0.000511639805576874,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","행운동",6.649253731,28.28358209,83,12,3,0.000632911392405063,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","서원동",6.708955224,28.40547264,110,12,3,0.000828958275766786,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","신사동(관악)",6.731343284,28.55970149,97,12,1,0.000251509054325956,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","중앙동",6.47761194,28.79850746,69,12,1,0.000390015600624025,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","보라매동",6.529850746,28.07960199,14,12,0,0,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","남현동",6.731343284,28.55970149,97,12,3,0.000951173113506658,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","성현동",6.723880597,27.97014925,109,12,3,0.000504371217215871,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","신원동",6.604477612,28.12437811,97,12,1,0.000284495021337127,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","신림동",6.73880597,28.21641791,98,12,1,0.000472366556447804,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","청림동",6.649253731,28.28358209,83,12,2,0.00066203243958954,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","조원동",6.611940299,28.12437811,97,12,1,0.00029673590504451,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","은천동",6.641791045,28.04975124,69,12,3,0.000463821892393321,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","난향동",6.626865672,28.48258706,64,12,2,0.000655093350802489,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","삼성동",6.589552239,28.07960199,14,12,5,0.000848176420695505,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","인헌동",6.597014925,28.12437811,97,12,2,0.00045341192473362,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","난곡동",6.694029851,28.21641791,98,12,3,0.0005009183503089,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","미성동",6.71641791,28.21641791,98,12,3,0.000456760048721072,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","낙성대동",6.71641791,28.55970149,97,12,1,0.000465549348230912,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"관악구","청룡동",6.52238806,28.79850746,69,12,1,0.000196193839513439,0.000441703372559332,0.5316,17.7,6347562,79068,0.000562914995726777
"광진구","자양4동",6.597014925,28.14179104,115,4,5,0.00114442664225223,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","구의3동",6.529850746,28.60696517,152,4,3,0.000625651720542232,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","구의1동",6.597014925,28.12437811,97,4,4,0.00110405741098537,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","자양3동",6.611940299,28.14179104,115,4,5,0.00101791530944625,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","중곡3동",6.604477612,28.14179104,115,4,4,0.00123762376237624,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","자양1동",6.626865672,28.48258706,64,4,5,0.00124750499001996,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","중곡1동",6.619402985,28.14179104,115,4,3,0.00106307583274274,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","중곡4동",6.634328358,28.14179104,115,4,4,0.000672834314550042,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","화양동",6.649253731,28.04975124,69,4,3,0.00122100122100122,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","군자동",6.626865672,28.14179104,115,4,6,0.00176730486008837,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","능동",6.619402985,28.14179104,115,4,2,0.00112994350282486,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","중곡2동",6.634328358,28.14179104,115,4,4,0.00105485232067511,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","광장동",6.649253731,28.28358209,83,4,7,0.00160587290662996,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","자양2동",6.626865672,28.48258706,64,4,6,0.00130861504907306,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"광진구","구의2동",6.529850746,28.60696517,152,4,4,0.00080742834073476,0.000580885316641772,0.6916,23.2,6554954,53438,0.00065794153211466
"구로구","구로3동",6.544776119,28.07960199,71,10,8,0.00202839756592292,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","구로4동",6.537313433,28.07960199,71,10,8,0.00153256704980843,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","고척2동",6.649253731,28.28358209,83,10,6,0.00100050025012506,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","오류1동",6.731343284,28.21641791,98,10,11,0.00241598945750055,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","구로1동",6.649253731,28.28358209,83,10,3,0.00091547146780592,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","수궁동",6.544776119,28.65671642,152,10,12,0.00228527899447724,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","고척1동",6.649253731,28.28358209,83,10,9,0.00178677784395473,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","구로5동",6.641791045,28.48258706,64,10,6,0.00108381502890173,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","오류2동",6.671641791,28.2960199,41,10,10,0.00124968757810547,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","구로2동",6.634328358,28.04975124,69,10,15,0.00229427959620679,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","개봉1동",6.529850746,28.79850746,69,10,10,0.00135777325186694,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","가리봉동",6.514925373,28.79850746,69,10,3,0.00127768313458262,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","신도림동",6.619402985,28.65671642,152,10,5,0.000917936478795667,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","개봉2동",6.649253731,28.28358209,83,10,3,0.000406724511930586,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"구로구","개봉3동",6.649253731,28.28358209,83,10,3,0.000613120784794605,0.000495807141140609,0.7445,19.9,14663398,82729,0.000774066250964421
"금천구","독산4동",6.671641791,28.58457711,112,3,4,0.00117647058823529,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","가산동",6.731343284,28.6641791,115,3,5,0.00156690692572861,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","독산2동",6.731343284,28.6641791,115,3,5,0.00121832358674464,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","시흥2동",6.731343284,28.6641791,115,3,6,0.00127496812579686,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","시흥4동",6.731343284,28.6641791,115,3,11,0.00227790432801822,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","시흥1동",6.731343284,28.6641791,115,3,8,0.00112107623318386,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","시흥5동",6.731343284,28.6641791,115,3,3,0.000616142945163278,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","독산3동",6.731343284,28.6641791,115,3,10,0.00181851245681033,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","시흥3동",6.731343284,28.6641791,115,3,3,0.00113464447806354,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"금천구","독산1동",6.731343284,28.6641791,115,3,11,0.00158753066820609,0.000779474138006114,0.777,22,17801015,37029,0.000814310970989627
"노원구","중계본동",6.619402985,28.28606965,21,9,8,0.00288600288600289,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","상계9동",6.626865672,28.2960199,41,9,1,0.000250815149235014,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","하계2동",6.604477612,28.30845771,36,9,4,0.00107758620689655,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","월계2동",6.656716418,28.10696517,62,9,6,0.000916170407695831,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","공릉2동",6.514925373,28.21890547,107,9,6,0.000920669019487494,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","공릉1동",6.537313433,28.65671642,152,9,2,0.000269360269360269,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","상계8동",6.626865672,28.2960199,41,9,1,0.000299670362601139,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
"노원구","하계1동",6.626865672,28.48258706,64,9,5,0.000983090837593394,0.000512175076528485,0.4111,16.6,6728358,167236,0.000549893396117792
