"행정동","위도","경도"
"사직동",37.5741079933818,126.970143785923
"삼청동",37.5880130819699,126.981113840797
"부암동",37.5966984807138,126.962556824355
"평창동",37.6139644405693,126.969274551394
"무악동",37.5777407384343,126.958989096357
"교남동",37.571052931479,126.964161076648
"가회동",37.58267630473,126.98661820544
"종로1·2·3·4가동",37.5750763890992,126.989733142579
"종로5·6가동",37.5730160119783,127.004241007636
"이화동",37.5796900185701,127.003069221653
"창신1동",37.572262626429,127.014019111035
"창신2동",37.5757547555209,127.010251674692
"창신3동",37.5788191499311,127.013208824438
"숭인1동",37.5772251067491,127.016861218815
"숭인2동",37.5743067256077,127.020637609556
"청운효자동",37.5846579589994,126.970417604863
"혜화동",37.5874714785556,126.997689202506
"소공동",37.5642968011016,126.974358677823
"회현동",37.5569681918762,126.976708596263
"명동",37.5637279542006,126.984355523432
"필동",37.556802756872,126.993848187857
"장충동",37.5556097840657,127.002279411421
"광희동",37.565204398553,127.003625213198
"을지로동",37.5666404941884,126.996491293479
"신당5동",37.5635811711341,127.022016244485
"황학동",37.5684190928732,127.020797952976
"중림동",37.5573179150387,126.965961341687
"신당동",37.5657474603263,127.013774728602
"다산동",37.5547025254949,127.008262900323
"약수동",37.5498372081283,127.0102396877
"청구동",37.5568554398077,127.014989580635
"동화동",37.5605941243238,127.018671070255
"후암동",37.5499377212458,126.980588711964
"용산2가동",37.5402384187225,126.98353207463
"남영동",37.5451066591794,126.973505919441
"원효로2동",37.5331044000138,126.951393158502
"효창동",37.5430511730106,126.961308862479
"용문동",37.5381469149709,126.958584339567
"이촌1동",37.5172771966662,126.970959426407
"이촌2동",37.5233310390247,126.953939510217
"이태원1동",37.5333945378126,126.993249301579
"이태원2동",37.5416602196458,126.992134051201
"서빙고동",37.5224695317044,126.988376645229
"보광동",37.525870867388,127.00126266707
"청파동",37.5478570881215,126.967166596213
"원효로1동",37.5374704701138,126.966560145312
"한강로동",37.5291845199991,126.967855080673
"한남동",37.5371013591534,127.005801383332
"왕십리2동",37.561497773782,127.027690307022
"마장동",37.5676366836747,127.040490239927
"사근동",37.5580149284672,127.045434715976
"행당1동",37.5590197214986,127.03605665114
"행당2동",37.5566757552031,127.029503450886
"응봉동",37.550988800861,127.033982137668
"금호1가동",37.5536687363076,127.025055778628
"금호4가동",37.5445948317957,127.024600128685
"성수1가1동",37.5404203183509,127.041044417793
"성수1가2동",37.5490737990307,127.043952048835
"성수2가1동",37.5366552007477,127.055281370532
"성수2가3동",37.5455423423188,127.058142896907
"송정동",37.5523330869131,127.065697560026
"용답동",37.558540061044,127.057849127748
"왕십리도선동",37.5667911853318,127.029569580908
"금호2·3가동",37.5514283477,127.019892170332
"옥수동",37.5419670195792,127.016175846254
"화양동",37.5432650300198,127.073460008507
"군자동",37.5530656204262,127.073680681776
"중곡1동",37.5620373099121,127.077722203328
"중곡2동",37.5589086587695,127.084587059071
"중곡3동",37.5678511332218,127.081969722661
"중곡4동",37.5639116137056,127.094447876715
"능동",37.5506571182539,127.081645243081
"구의1동",37.541490374908,127.086032431372
"구의2동",37.5510021085388,127.094449987935
"구의3동",37.5350919006686,127.095236007912
"광장동",37.5482827154808,127.10487223359
"자양1동",37.5355434351045,127.080415389161
"자양2동",37.529334657434,127.083253742897
"자양3동",37.5316902225696,127.071198154518
"자양4동",37.5338916639027,127.063765731261
"회기동",37.5937004827802,127.051407033134
"휘경1동",37.591872691577,127.062474351335
"휘경2동",37.5865060176806,127.066435899688
"청량리동",37.588940370802,127.045118885869
"용신동",37.5756162729839,127.032286254214
"제기동",37.5836766813386,127.037242395754
"전농1동",37.5790114984295,127.051047927686
"전농2동",37.5807211508694,127.061144177762
"답십리2동",37.5708918759967,127.061113665152
"장안1동",37.5662314196218,127.068589758477
"장안2동",37.5757601105801,127.072538458364
"이문1동",37.5972217755756,127.06029277007
"이문2동",37.6028334029003,127.067492142272
"답십리1동",37.5709437492027,127.051699340542
"면목2동",37.589377909049,127.07814374966
"면목4동",37.5734775293215,127.08647489677
"면목5동",37.5829724434855,127.079665629772
"면목7동",37.5772948930163,127.092691294973
"상봉1동",37.6020252306222,127.089468356153
"상봉2동",37.5942450438633,127.08389744966
"중화1동",37.6022872290642,127.083149154067
"중화2동",37.5987232000925,127.075208124954
"묵1동",37.6137358761831,127.082450353944
"묵2동",37.6103720683138,127.074665689907
"망우3동",37.5918077752346,127.102939535901
"신내1동",37.612801592457,127.104506340261
"신내2동",37.6109504231526,127.091616422224
"면목본동",37.5883405644645,127.089530518851
"면목3·8동",37.5845965948993,127.097381091233
"망우본동",37.6019866784731,127.107535871775
"돈암1동",37.599327000414,127.024041518375
"돈암2동",37.5972752800225,127.011629161639
"안암동",37.587251657735,127.027308902479
"보문동",37.5826031824556,127.019218964808
"정릉1동",37.6032615763406,127.016652872912
"정릉2동",37.6037935555508,127.008118011052
"정릉3동",37.6122627784367,126.993765595798
"정릉4동",37.623510471627,126.995181486318
"길음1동",37.6081121190008,127.019735303488
"길음2동",37.6079710462082,127.027231081551
"월곡1동",37.6078781317318,127.036447885333
"월곡2동",37.603299711909,127.045192635069
"장위1동",37.6149442270099,127.044264776944
"장위2동",37.6122237620035,127.051726596789
"장위3동",37.6181778644029,127.053494701358
"성북동",37.5958683861875,126.996150363623
"삼선동",37.5866187384841,127.011795549186
"동선동",37.59373541655,127.018426130958
"종암동",37.5972500169018,127.033374447818
"석관동",37.6082602192021,127.061335461745
"번1동",37.6376259826293,127.030544990966
"번2동",37.6295151427755,127.034794720156
"번3동",37.6237822994275,127.042335850624
"수유1동",37.6299268727236,127.008838781841
"수유2동",37.6454017860879,127.01950376499
"수유3동",37.6404550515979,127.023546105129
"삼양동",37.6237926069881,127.014684155897
"미아동",37.6286999447361,127.026292687995
"송중동",37.6177047564797,127.032921881117
"송천동",37.6182214207915,127.024871446663
"삼각산동",37.6171272162569,127.016830708139
"우이동",37.6603511757646,127.000322082043
"인수동",37.6376408683445,127.003962767621
"쌍문1동",37.6530253400032,127.019512098015
"쌍문2동",37.6570619607445,127.03700172895
"쌍문3동",37.6476871657099,127.030586271426
"쌍문4동",37.6555505327334,127.030407661169
"방학1동",37.6650330671214,127.043517033512
"방학2동",37.6691450570186,127.032260237949
"방학3동",37.6627961151041,127.023469580007
"창1동",37.647135167212,127.043564244934
"창2동",37.6426263192573,127.036824833814
"창3동",37.6373603161778,127.041627436248
"창4동",37.6525772943376,127.050926685578
"창5동",37.6553597186033,127.042766299982
"도봉1동",37.6850838024372,127.02679462566
"도봉2동",37.6811874464427,127.047792004623
"월계1동",37.6218051340554,127.058603694167
"월계2동",37.6340747175677,127.051206560855
"월계3동",37.6246551350105,127.064892202948
"공릉2동",37.6316133487189,127.094227372811
"하계1동",37.6386177327356,127.074808678917
"하계2동",37.6348389179456,127.064822968354
"중계본동",37.6481363721116,127.085761500791
"중계1동",37.6500170727277,127.073500886968
"중계4동",37.6588470573144,127.082241984994
"상계1동",37.6832680059761,127.065332007894
"상계2동",37.6564881618612,127.067265508654
"상계5동",37.6632206770582,127.069598841505
"상계8동",37.6662900810738,127.053651027097
"상계9동",37.6680700787739,127.062495939131
"상계10동",37.6596437331199,127.058398415943
"상계3·4동",37.6751449886373,127.083266553867
"상계6·7동",37.6487496714435,127.060092002223
"중계2·3동",37.6433441522279,127.0658878328
"공릉1동",37.624118831247,127.072770324798
"녹번동",37.6054150876783,126.935049611034
"불광1동",37.61731256195,126.939271280917
"갈현1동",37.6253524711549,126.914887209402
"갈현2동",37.6182835529826,126.912123639871
"구산동",37.6110635811489,126.907646599346
"대조동",37.6122797962299,126.923095128802
"응암1동",37.5982554079814,126.926900150651
"응암2동",37.591885149816,126.923024286778
"신사1동",37.5989937128433,126.908843013863
"신사2동",37.5928912362551,126.906285586818
"증산동",37.5837811471663,126.905810865232
"수색동",37.585770583181,126.894901074987
"진관동",37.6392788348462,126.94051761578
"불광2동",37.6243729250338,126.928650334756
"응암3동",37.5886535395322,126.917745328302
"역촌동",37.6045689156751,126.914529402268
"천연동",37.5712144053268,126.957140743146
"홍제1동",37.5815409522227,126.945201211821
"홍제3동",37.5920228108518,126.951159964494
"홍제2동",37.5845467734628,126.952525981553
"홍은1동",37.5999795661567,126.947027205768
"홍은2동",37.5869912595946,126.932173523694
"남가좌1동",37.5716944449203,126.916201380363
"남가좌2동",37.5776243157886,126.921330323266
"북가좌1동",37.575267705024,126.908003294287
"북가좌2동",37.5810034855174,126.913500906894
"충현동",37.5639086662658,126.958098198207
"북아현동",37.5592476828841,126.955516708689
"신촌동",37.5636354580298,126.941062541737
"연희동",37.5720056064117,126.93273437961
"용강동",37.5405886076621,126.9412699668
"대흥동",37.5521219686196,126.941400459964
"염리동",37.5498248614535,126.947546852955
"신수동",37.5436255407652,126.933642185196
"서교동",37.5547719957783,126.920944451374
"합정동",37.546871728668,126.908840243784
"망원1동",37.5527526391622,126.900206031347
"망원2동",37.5571202585927,126.895679760727
"연남동",37.5630299123109,126.92154485817
"성산1동",37.561982422604,126.911845282782
"성산2동",37.5681058292775,126.902042804766
"상암동",37.571792643001,126.88086047473
"도화동",37.5370399026918,126.946806936149
"서강동",37.5459461395775,126.925157583817
"공덕동",37.5491192098263,126.95778535322
"아현동",37.5519258968623,126.952841241611
"목1동",37.527444379233,126.87509872142
"목2동",37.5435937356103,126.874098407563
"목3동",37.5452003086196,126.865412266733
"목4동",37.5354366015795,126.866895905532
"신월1동",37.5312655314095,126.834532234642
"신월2동",37.5233974423091,126.846330338171
"신월3동",37.532360520144,126.827467435577
"신월4동",37.5222490929613,126.839820740488
"신월5동",37.5400448034471,126.829898464547
"신월6동",37.5159738459494,126.842129909
"신월7동",37.5206628993533,126.832337416962
"신정1동",37.5188773236476,126.859634460954
"신정2동",37.5189528735653,126.875177087049
"신정3동",37.5117824165671,126.83939686274
"신정6동",37.5159107322479,126.869643768589
"신정7동",37.5101162435144,126.864683385365
"목5동",37.5363113078188,126.881027256432
"신정4동",37.525409273361,126.857570623463
"염창동",37.5532116401019,126.875431687781
"등촌1동",37.5558562949976,126.859633418708
"등촌2동",37.5457353384538,126.860025327575
"등촌3동",37.5610548519021,126.846338816642
"화곡본동",37.5425737398544,126.848161929677
"화곡2동",37.5322784124317,126.854368230931
"화곡3동",37.5440557436891,126.834272814951
"화곡4동",37.536098119829,126.858575733429
"화곡6동",37.551721871161,126.851165980837
"화곡8동",37.5342206149589,126.848633469074
"가양1동",37.5731004931785,126.834347555919
"가양2동",37.5686569491926,126.854007154767
"가양3동",37.5626822671425,126.862296718594
"발산1동",37.5504472067645,126.825576342639
"공항동",37.5564907677082,126.794957102465
"방화1동",37.568642725813,126.817550725592
"방화2동",37.5838028681156,126.804506165071
"방화3동",37.5815844044039,126.815533848421
"화곡1동",37.533780182154,126.840936214562
"우장산동",37.550571918016,126.841015050649
"신도림동",37.5097338626686,126.88284657761
"구로1동",37.4930320364751,126.875460543427
"구로3동",37.4848785036879,126.89498397881
"구로4동",37.4915356891575,126.890197008452
"구로5동",37.5020301604394,126.88848081702
"고척1동",37.5006587345099,126.863399066214
"고척2동",37.505854477902,126.853311377981
"개봉2동",37.4927299904511,126.856363960744
"개봉3동",37.4868357662504,126.852411120751
"오류1동",37.4969640056313,126.841634067727
"항동",37.4810286987654,126.824492738478
"수궁동",37.4982770810681,126.826069403367
"가리봉동",37.4825554601053,126.888256854915
"구로2동",37.4974545794588,126.87949456605
"개봉1동",37.4998848760817,126.849876406899
"가산동",37.4768350851274,126.884340971903
"독산1동",37.46419886988,126.89272005522
"독산2동",37.4638254562944,126.902553913223
"독산3동",37.4759330237917,126.904593801779
"독산4동",37.4692187740091,126.90405170858
"시흥1동",37.4528863098895,126.900146015335
"시흥2동",37.4505899348172,126.920073090376
"시흥3동",37.4402762460347,126.905925642762
"시흥4동",37.460077964088,126.909105417211
"시흥5동",37.4487497175328,126.912431221373
"여의동",37.5274889751916,126.92757162934
"당산1동",37.5239307170492,126.896851231231
"당산2동",37.5329827440936,126.903911787849
"양평1동",37.5250741259575,126.887073303919
"양평2동",37.5406002009916,126.894177979238
"신길1동",37.5123377973166,126.919510430941
"신길3동",37.506447127266,126.905886542856
"신길4동",37.5072845369465,126.912917914043
"신길5동",37.5011170637039,126.905554641218
"신길6동",37.4991562409581,126.913541064136
"신길7동",37.5057976687959,126.919802821395
"대림1동",37.4937685900381,126.905261614652
"대림2동",37.4896346200622,126.90064343372
"대림3동",37.4998681365491,126.897272217939
"영등포본동",37.5137225347206,126.909695668017
"영등포동",37.5215222407353,126.907842194022
"도림동",37.5092773068638,126.901235681269
"문래동",37.5163805183165,126.891471871572
"노량진2동",37.5109299046024,126.938002677653
"상도1동",37.4983283821831,126.95347059878
"상도2동",37.5036738351878,126.942060132063
"상도3동",37.4972275508912,126.933354520624
"상도4동",37.4974288624173,126.940763619438
"사당1동",37.4797168930496,126.977409082542
"사당3동",37.4888120015502,126.970862228835
"사당4동",37.4805908159976,126.970769958142
"사당5동",37.4858037956492,126.96504030049
"대방동",37.5071139137877,126.928026002667
"신대방1동",37.489948148245,126.910705374245
"신대방2동",37.4943096880798,126.921531757487
"흑석동",37.5062961680377,126.963762689718
"노량진1동",37.513025377466,126.949154771242
"사당2동",37.4982323904375,126.975191885989
"보라매동",37.4903578257577,126.932594621702
"청림동",37.4894146388881,126.959568566976
"행운동",37.4809036160284,126.960622426481
"낙성대동",37.4672301261643,126.960046226204
"중앙동",37.4841224667548,126.950618001745
"인헌동",37.4720777683068,126.966619043872
"남현동",37.4624710871797,126.976640013455
"서원동",37.4806016700019,126.933444736907
"신원동",37.4793003803689,126.92669884395
"서림동",37.4735485034946,126.939210141527
"신사동",37.4856255092821,126.918752941612
"신림동",37.4869003896313,126.927612942315
"난향동",37.4615887324456,126.918266328135
"조원동",37.4829384119626,126.907525111684
"대학동",37.4534746304054,126.948482262281
"은천동",37.4868212843001,126.942209038847
"성현동",37.4895146023392,126.951166475592
"청룡동",37.4780492553358,126.945884294534
"난곡동",37.4704952842949,126.921048515086
"삼성동",37.4606684294061,126.930137457753
"미성동",37.4759383292618,126.915426129193
"서초1동",37.4869552448383,127.020138800438
"서초2동",37.488816790995,127.027910466745
"서초3동",37.4854308312747,127.009592323347
"서초4동",37.4989852253178,127.019964008813
"잠원동",37.517638246344,127.01303891125
"반포본동",37.5062892900976,126.98647601528
"반포1동",37.5055059137886,127.016630953192
"반포2동",37.5063792223261,126.995695155907
"반포3동",37.5124082316877,127.00359224663
"반포4동",37.4995808275013,127.003288700624
"방배본동",37.4949488565554,126.987765621129
"방배1동",37.4849125069863,126.996302799791
"방배2동",37.4730146301789,126.988485810099
"방배3동",37.4743198740476,126.997899965084
"방배4동",37.489818856043,126.990986904588
"양재1동",37.4695574215645,127.022529575466
"양재2동",37.4511455432833,127.045906874067
"내곡동",37.4565209973106,127.070547946949
"신사동",37.5257176218959,127.021395206432
"논현1동",37.5119094309517,127.026496023561
"논현2동",37.5152057135073,127.036218317679
"삼성1동",37.5153969038726,127.060628000687
"삼성2동",37.5118392753572,127.048760414403
"대치1동",37.4933911676998,127.058965422852
"대치4동",37.501660552257,127.054899029968
"역삼1동",37.5008888793296,127.035490697313
"역삼2동",37.4985020798086,127.04489099995
"도곡1동",37.4890453421839,127.040975705065
"도곡2동",37.4882109777229,127.049653453396
"개포1동",37.4792839642028,127.064709696692
"개포4동",37.4755522409205,127.053236814105
"일원본동",37.4823696433,127.084674325401
"일원1동",37.4933858669415,127.0892459488
"일원2동",37.4954735290118,127.079316529285
"수서동",37.4868367730653,127.100569278023
"세곡동",37.4710745369882,127.104347682266
"압구정동",37.5302665813314,127.033483609482
"청담동",37.5245379664718,127.050503287157
"대치2동",37.5005751316417,127.066415642137
"개포2동",37.4864768562466,127.067634832479
"풍납1동",37.5382393668279,127.114299688413
"풍납2동",37.5298504953683,127.110127134989
"거여1동",37.4943859754458,127.141676255779
"거여2동",37.4923751139963,127.147174609196
"마천1동",37.4947834805966,127.155724566299
"마천2동",37.5003285053132,127.15145766318
"방이1동",37.5097718457493,127.122315009406
"방이2동",37.5132546473961,127.113826312565
"오륜동",37.5176586867628,127.128507790093
"오금동",37.5039895932223,127.134398685626
"송파1동",37.5071676764437,127.110320664627
"송파2동",37.5028356223828,127.116831148434
"석촌동",37.502723641612,127.102462239504
"삼전동",37.5017201972247,127.091905850386
"가락본동",37.4972167146674,127.12163941811
"가락1동",37.4953291516899,127.108235045606
"가락2동",37.4958596390957,127.130643071282
"문정1동",37.488173016884,127.126859248163
"문정2동",37.4806935230858,127.119136555485
"잠실본동",37.505506952098,127.08229375265
"잠실4동",37.5212546173562,127.108152404363
"잠실6동",37.519065075346,127.099981993991
"잠실7동",37.50748105093,127.074097607505
"잠실2동",37.5177194816196,127.078819479851
"잠실3동",37.5136381047928,127.09431951437
"장지동",37.4827887857247,127.131628833572
"위례동",37.4816607966441,127.141242124291
"강일동",37.5638939772393,127.174019246406
"상일동",37.5507445492374,127.164842328472
"명일1동",37.550371329679,127.145940598337
"명일2동",37.5482885833736,127.154204773143
"고덕1동",37.5633469190868,127.150307307597
"고덕2동",37.5658648034013,127.161639531582
"암사2동",37.557380409415,127.123241947704
"암사3동",37.5615049232655,127.138509012029
"천호1동",37.546318478654,127.138581574535
"천호3동",37.5396538731929,127.133195862094
"성내1동",37.528764114809,127.125518897804
"성내2동",37.5343645365106,127.127736876024
"성내3동",37.5284034526414,127.133796559375
"둔촌1동",37.5231451446586,127.140434722076
"둔촌2동",37.5315144311926,127.147413644704
"암사1동",37.5518551127118,127.134585664404
"천호2동",37.5446910545994,127.122275119286
"길동",37.5397251077209,127.145906564229
"오류2동",37.4852648901828,126.838372356422
